Date/Time,Word Count,en,fr-FR
2023.07.23-17.59.36,37,37,0
2023.07.23-18.12.45,38,38,0
2023.07.23-18.13.40,45,45,0
2023.07.23-18.20.30,45,45,5
2023.07.23-18.21.27,45,45,8
2023.07.23-19.55.47,48,48,8
2023.07.23-19.59.45,50,50,8
2023.07.23-20.19.41,536,536,8
2023.07.23-20.46.27,538,538,499
2023.07.24-23.25.43,543,543,523
2023.07.27-19.49.00,613,613,494
2023.07.27-19.52.15,561,561,506
2023.07.27-19.52.47,528,528,506
2023.07.27-20.24.07,528,528,511
2023.08.02-14.13.40,557,557,511
2023.08.02-14.17.35,556,556,511
2023.08.02-14.54.29,554,554,511
2023.08.02-15.12.35,578,578,511
2023.08.02-15.24.40,577,577,528
2023.08.02-15.28.13,577,577,534
2023.08.04-15.32.31,583,583,526
2023.08.04-15.34.17,583,583,539
